META_experiment;META_run;META_CycleStart;META_CycleEnd;MEAS_KM_Zyklus- Zeit Z [s];MEAS_KM_Plast- Zeit Z [s];MEAS_KM_Spritz- Zeit Z [s];MEAS_KM_Umsch MasDrZ [bar];MEAS_KM_Max MasDr [bar];MEAS_KM_Masse- Polster [cm³];MEAS_KM_Max WkzDr1 [bar];MEAS_KM_Max F WkzDr1 [bar];MEAS_KM_Fläche WkzDr1 [bar*s];MEAS_KM_Max F Massedr [bar];MEAS_KM_Fläche Massedr [bar*s];MEAS_KM_Max F Leistung [kW];MEAS_KM_Fläche Leistung [Wh];MEAS_KM_Fläche Spritzweg [mm*s];MEAS_KM_Max F Spritzge [mm/s];MEAS_KM_Fläche Spritzge [mm/s*s];MEAS_KM_Max StauDr [bar];MEAS_KM_Energie ZylHtg [Wh];MEAS_KM_Energie HptAntr [Wh];MEAS_KM_Energie PeriAuto [Wh];MEAS_KM_Energie Gesamt [Wh]
1;1;688;692;41.92;12.57;2.0;1018;1153;9.51;1;1.0;30.0;1152;11873;5.733;2.6;286.9;52.0;103.7;571.0;11.2;24.0;6.2;41.4
1;2;688;692;41.92;12.55;2.0;1018;1153;9.51;1;1.0;30.0;1152;11873;5.737;2.6;286.9;52.0;103.7;572.0;13.5;24.1;6.3;43.9
1;3;688;692;41.92;12.58;2.0;1017;1152;9.52;1;1.0;30.0;1151;11872;5.719;2.5;286.9;52.0;103.7;572.0;11.7;24.0;6.3;42.0
1;4;688;692;41.91;12.54;2.0;1017;1152;9.51;1;1.0;30.0;1145;11871;5.728;2.5;286.7;52.0;103.7;572.0;12.5;24.0;6.3;42.8
2;1;703;707;41.26;12.55;1.37;954;1273;9.49;1;1.0;30.0;1273;11427;9.548;2.8;246.0;78.0;103.9;571.0;10.8;24.1;6.1;41.0
2;2;703;707;41.26;12.58;1.37;953;1274;9.44;1;1.0;30.0;1273;11419;9.558;2.8;245.4;78.0;103.9;572.0;11.0;24.2;6.1;41.3
2;3;703;707;41.25;12.53;1.37;955;1271;9.49;1;1.0;30.0;1270;11417;9.534;2.8;246.0;78.0;103.9;571.0;12.5;24.2;6.1;42.8
2;4;703;707;41.25;12.51;1.37;953;1270;9.42;1;1.0;30.0;1270;11417;9.531;2.8;245.1;78.0;103.9;571.0;11.7;24.1;6.2;42.0
3;1;716;720;40.92;12.51;1.06;910;1417;9.39;1;1.0;30.0;1416;11167;14.171;2.9;224.8;104.0;104.0;572.0;10.8;24.4;6.1;41.3
3;2;716;720;40.92;12.58;1.06;909;1417;9.39;1;1.0;30.0;1417;11160;14.18;2.9;224.7;104.0;104.0;572.0;11.8;24.5;6.1;42.4
3;3;716;720;40.92;12.51;1.06;910;1418;9.39;1;1.0;30.0;1417;11160;14.189;2.9;224.9;104.0;104.0;572.0;11.5;24.4;6.1;42.0
3;4;716;720;40.93;12.49;1.06;917;1415;9.39;1;1.0;30.0;1414;11165;14.153;2.9;225.0;104.0;104.0;572.0;12.1;24.4;6.1;42.6
4;1;731;735;41.86;12.72;2.0;936;1063;8.98;1;1.0;30.0;1058;11731;5.281;2.3;278.8;52.0;104.2;569.0;14.3;23.1;6.2;43.6
4;2;731;735;41.86;12.69;2.0;932;1059;8.92;1;1.0;30.0;1058;11722;5.258;2.3;277.9;52.0;104.3;573.0;16.3;23.2;6.2;45.7
4;3;731;735;41.85;12.74;2.0;929;1056;8.92;1;1.0;30.0;1056;11718;5.246;2.3;277.9;52.0;104.3;573.0;15.1;23.2;6.2;44.5
4;4;731;735;41.85;12.8;2.0;927;1054;8.9;1;1.0;30.0;1054;11712;5.235;2.3;277.7;52.0;104.3;573.0;13.1;23.1;6.8;43.0
5;1;744;748;41.22;12.68;1.37;873;1117;8.83;1;1.0;30.0;1116;11311;8.378;2.5;236.2;78.0;104.5;573.0;11.9;23.2;7.0;42.1
5;2;744;748;41.22;12.65;1.37;874;1115;8.87;1;1.0;30.0;1115;11311;8.365;2.5;236.7;78.0;104.5;573.0;12.9;23.2;7.0;43.1
5;3;744;748;41.22;12.67;1.37;876;1115;8.83;1;1.0;30.0;1115;11311;8.358;2.5;236.2;78.0;104.5;570.0;13.1;23.1;7.0;43.2
5;4;744;748;41.23;12.64;1.37;874;1114;8.87;1;1.0;30.0;1114;11313;8.358;2.5;236.7;78.0;104.5;573.0;14.2;23.2;7.0;44.4
6;1;754;758;40.91;12.73;1.06;838;1230;8.78;1;1.0;30.0;1229;11092;12.309;2.7;215.7;104.0;104.6;573.0;15.8;23.4;7.0;46.2
6;2;754;758;40.9;12.71;1.06;838;1229;8.79;1;1.0;30.0;1228;11087;12.3;2.7;215.8;104.0;104.6;570.0;12.7;23.4;7.0;43.1
