META_experiment,META_run,META_JobCycleCounter_global,META_CycleStart,META_CycleEnd,SET_CylinderTemperature,SET_HotRunner/Nozzle,SET_InjectionSpeed,SET_UP,SET_MoldTemperature,MEAS_EM77_BarrelTemperatureZone1,MEAS_EM77_BarrelTemperatureZone2,MEAS_EM77_BarrelTemperatureZone3,MEAS_EM77_BarrelTemperatureZone4,MEAS_EM77_BarrelTemperatureZone5,MEAS_EM77_BarrelTemperatureZone6,MEAS_EM77_CushionStroke,MEAS_EM77_CushionVolume,MEAS_EM77_CycleTime,MEAS_EM77_DosingTime,MEAS_EM77_FlowIndex,MEAS_EM77_HoldHydraulicPressureMaximum,MEAS_EM77_HoldSpecificPressureMaximum,MEAS_EM77_HydraulicPressureMaximum,MEAS_EM77_InjectionSpeedAverage,MEAS_EM77_InjectionSpeedMaximum,MEAS_EM77_InjectionTime,MEAS_EM77_PlastificationHydraulicPressureMaximum,MEAS_EM77_PlastificationRotationalSpeedMaximum,MEAS_EM77_PlastificationSpecificPressureMaximum,MEAS_EM77_SpecificPressureMaximum,MEAS_EM77_TransferSpecificPressure,MEAS_EM77_TransferStroke,MEAS_EM77_TransferVolume
1,1,688.0,688,692,220,220,50,13.5,60,66.0,205.0,210.0,218.0,220.0,220.0,9.9061,9.53,41920.0,12570.0,11873.0,1008056.0,1008.0,1152920.0,49.9,50.0,2000.0,570727.0,203.4,571.0,1153.0,1018.0,14.0162,13.48
1,2,689.0,688,692,220,220,50,13.5,60,66.0,205.0,210.0,218.0,220.0,220.0,9.8868,9.51,41920.0,12550.0,11873.0,1008523.0,1009.0,1152920.0,49.9,50.0,2000.0,571642.0,203.4,572.0,1153.0,1018.0,14.0162,13.48
1,3,690.0,688,692,220,220,50,13.5,60,66.0,205.0,210.0,218.0,220.0,220.0,9.8939,9.52,41920.0,12580.0,11872.0,1008056.0,1008.0,1152463.0,49.9,50.0,2000.0,571642.0,203.4,572.0,1152.0,1017.0,14.0164,13.49
1,4,691.0,688,692,220,220,50,13.5,60,67.0,205.0,210.0,218.0,220.0,220.0,9.8828,9.51,41910.0,12540.0,11871.0,1007141.0,1007.0,1151548.0,49.9,50.0,2000.0,571642.0,203.4,572.0,1152.0,1017.0,14.0163,13.49
2,1,703.0,703,707,220,220,75,13.5,60,68.0,205.0,210.0,218.0,220.0,220.0,9.8327,9.46,41260.0,12550.0,11427.0,944802.0,945.0,1273939.0,73.1,75.1,1370.0,571185.0,203.4,571.0,1274.0,953.0,14.0186,13.49
2,2,704.0,703,707,220,220,75,13.5,60,68.0,205.0,210.0,218.0,220.0,220.0,9.8174,9.45,41260.0,12580.0,11419.0,942047.0,942.0,1274407.0,73.1,75.0,1370.0,571642.0,203.4,572.0,1274.0,953.0,14.0186,13.49
2,3,705.0,703,707,220,220,75,13.5,60,68.0,205.0,210.0,218.0,220.0,220.0,9.8615,9.49,41250.0,12530.0,11417.0,944345.0,944.0,1270738.0,73.1,75.0,1370.0,571185.0,203.6,571.0,1271.0,955.0,14.0186,13.49
2,4,706.0,703,707,220,220,75,13.5,60,68.0,205.0,210.0,218.0,220.0,220.0,9.7906,9.42,41250.0,12510.0,11417.0,942047.0,942.0,1270280.0,73.1,75.1,1370.0,570727.0,203.4,571.0,1270.0,953.0,14.0186,13.49
3,1,716.0,716,720,220,220,100,13.5,60,69.0,205.0,210.0,218.0,220.0,220.0,9.7611,9.39,40920.0,12510.0,11167.0,899875.0,900.0,1416517.0,94.7,100.1,1060.0,571642.0,203.6,572.0,1417.0,910.0,14.0211,13.49
3,2,717.0,716,720,220,220,100,13.5,60,69.0,205.0,210.0,218.0,220.0,220.0,9.7561,9.39,40920.0,12580.0,11160.0,898960.0,899.0,1417432.0,94.6,100.1,1060.0,572099.0,203.4,572.0,1417.0,909.0,14.0211,13.49
3,3,718.0,716,720,220,220,100,13.5,60,69.0,205.0,210.0,218.0,220.0,220.0,9.7561,9.39,40920.0,12510.0,11160.0,899417.0,899.0,1417432.0,94.6,100.1,1060.0,571642.0,203.4,572.0,1417.0,909.0,14.0211,13.49
3,4,719.0,716,720,220,220,100,13.5,60,69.0,205.0,210.0,218.0,220.0,220.0,9.7649,9.39,40930.0,12490.0,11165.0,905374.0,905.0,1414677.0,94.6,100.1,1060.0,572099.0,203.4,572.0,1415.0,917.0,14.0212,13.49
